endpoint_id,seed,feature_set,model_name,split_comparison,mae_exact_delta_b_minus_a,spearman_exact_delta_b_minus_a,censored_nll_delta_b_minus_a,nearest_neighbor_tanimoto_a,nearest_neighbor_tanimoto_b,nearest_neighbor_tanimoto_delta_b_minus_a
CYP1A2_IC50_A,2,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.18310057331884444,-0.2302550031360402,0.00939220963604892,0.5357142857142857,0.323943661971831,-0.2117706237424547
CYP1A2_IC50_A,2,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.15973702511400512,-0.17303411612171535,0.06302718842301813,0.5357142857142857,0.323943661971831,-0.2117706237424547
CYP1A2_IC50_A,2,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.28062830186804866,-0.15327555714495414,0.019358346375226487,0.5357142857142857,0.323943661971831,-0.2117706237424547
CYP2C9_IC50_A,4,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.01924529964975341,-0.05720308849230782,-0.04532710562635034,0.5625,0.3595505617977528,-0.2029494382022472
CYP2C9_IC50_A,4,morgan,tobit_mlp,scaffold_vs_cluster_butina,-0.04375815193442811,0.030525105061079277,-0.09256926226621087,0.5625,0.3595505617977528,-0.2029494382022472
CYP2C9_IC50_A,4,morgan,tobit_ensemble,scaffold_vs_cluster_butina,-0.12433990192576072,0.002841649655549533,-0.10466690863923023,0.5625,0.3595505617977528,-0.2029494382022472
CYP2C9_IC50_A,1,morgan,xgboost_aft,scaffold_vs_cluster_butina,-0.06766074104075903,-0.2708618040130245,-0.06265232516854846,0.54192037470726,0.35,-0.19192037470725998
CYP2C9_IC50_A,1,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.06424450145416727,-0.156256943282501,-0.08436143276212471,0.54192037470726,0.35,-0.19192037470725998
CYP2C9_IC50_A,1,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.005183608554162555,-0.1364765988481842,-0.0888303222772866,0.54192037470726,0.35,-0.19192037470725998
CYP2C9_IC50_A,3,morgan,xgboost_aft,scaffold_vs_cluster_butina,-0.115843547149731,-0.029027280396684785,-0.0027839241891083333,0.5247252747252747,0.3480703468490473,-0.17665492787622744
CYP2C9_IC50_A,3,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.21316920852827992,-0.07666900940864232,-0.0928842493823483,0.5247252747252747,0.3480703468490473,-0.17665492787622744
CYP2C9_IC50_A,3,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.2034351302047328,-0.08263435512538694,0.028259844519395783,0.5247252747252747,0.3480703468490473,-0.17665492787622744
CYP2C9_IC50_A,0,morgan,xgboost_aft,scaffold_vs_cluster_butina,-0.09274621106904712,-0.2333212421097772,-0.05433652225330421,0.5549516908212561,0.3355855855855856,-0.21936610523567046
CYP2C9_IC50_A,0,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.46993743200469695,-0.20830338447739297,-0.10281849475227678,0.5549516908212561,0.3355855855855856,-0.21936610523567046
CYP2C9_IC50_A,0,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.2835785745601349,-0.14358095819687502,-0.0330966883725512,0.5549516908212561,0.3355855855855856,-0.21936610523567046
CYP2C9_IC50_A,2,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.037522066381094454,-0.1546377556578144,0.04846088060456766,0.5656019656019655,0.3419387075283144,-0.22366325807365112
CYP2C9_IC50_A,2,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.01629665856435758,-0.1387385058891163,0.04954396362476188,0.5656019656019655,0.3419387075283144,-0.22366325807365112
CYP2C9_IC50_A,2,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.10111425117298056,-0.1539867487053706,0.051050176691075366,0.5656019656019655,0.3419387075283144,-0.22366325807365112
CYP2D6_IC50_A,0,morgan,xgboost_aft,scaffold_vs_cluster_butina,-0.03702937921475513,-0.37723484255026934,-0.1939650327585738,0.5733333333333334,0.3414634146341463,-0.23186991869918705
CYP2D6_IC50_A,0,morgan,tobit_mlp,scaffold_vs_cluster_butina,-0.17598150794978085,-0.18718662869551386,-0.32263985461368505,0.5733333333333334,0.3414634146341463,-0.23186991869918705
CYP2D6_IC50_A,0,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.02982465104460985,-0.29682745523146414,-0.2851917744501282,0.5733333333333334,0.3414634146341463,-0.23186991869918705
CYP2D6_IC50_A,1,morgan,xgboost_aft,scaffold_vs_cluster_butina,-0.06370998727386867,-0.22193089566782953,-0.05533400105329023,0.4772727272727273,0.3333333333333333,-0.14393939393939398
CYP2D6_IC50_A,1,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.10604501759522988,-0.05711664360240859,-0.054293545203325966,0.4772727272727273,0.3333333333333333,-0.14393939393939398
CYP2D6_IC50_A,1,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.14956379816870968,-0.09556894708920716,-0.04232672531368775,0.4772727272727273,0.3333333333333333,-0.14393939393939398
CYP2D6_IC50_A,4,morgan,xgboost_aft,scaffold_vs_cluster_butina,-0.08554456934843713,-0.3929800231363138,-0.08813720027282801,0.5581395348837209,0.3333333333333333,-0.2248062015503876
CYP2D6_IC50_A,4,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.7594192078317195,-0.3465323136404065,0.08435167088798445,0.5581395348837209,0.3333333333333333,-0.2248062015503876
CYP2D6_IC50_A,4,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.3080316293373635,-0.36342648263412564,0.021057333755133523,0.5581395348837209,0.3333333333333333,-0.2248062015503876
CYP2D6_IC50_A,2,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.026869631317621545,-0.11728471079345015,-0.008124490761015513,0.5454545454545454,0.3333333333333333,-0.2121212121212121
CYP2D6_IC50_A,2,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.17554271584844217,-0.23471643301764125,-0.015178352329197953,0.5454545454545454,0.3333333333333333,-0.2121212121212121
CYP2D6_IC50_A,2,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.20076800101640946,-0.218751950883761,-0.016943190411367492,0.5454545454545454,0.3333333333333333,-0.2121212121212121
CYP2D6_IC50_A,3,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.10255650203937816,-0.22610771980239547,-0.08083090815017524,0.5625,0.3428571428571428,-0.2196428571428572
CYP2D6_IC50_A,3,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.03487859477214572,-0.17667720912796328,-0.11801305094975822,0.5625,0.3428571428571428,-0.2196428571428572
CYP2D6_IC50_A,3,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.1350271416418305,-0.19551931363085648,-0.11091059774627987,0.5625,0.3428571428571428,-0.2196428571428572
CYP3A4_IC50_A,2,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.05710474926556297,-0.16733536252499126,-0.1102094823401013,0.6233766233766234,0.3725490196078431,-0.25082760376878027
CYP3A4_IC50_A,2,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.5658119586589465,-0.08217228143332406,-0.13798522634898358,0.6233766233766234,0.3725490196078431,-0.25082760376878027
CYP3A4_IC50_A,2,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.3991328207494751,-0.20916867163786068,-0.05853130769827841,0.6233766233766234,0.3725490196078431,-0.25082760376878027
CYP3A4_IC50_A,1,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.19529964702962643,-0.31603963639578625,-0.03903353195763981,0.6197183098591549,0.3571428571428571,-0.2625754527162978
CYP3A4_IC50_A,1,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.38521671973079474,-0.2893273550719871,-0.11018682764637755,0.6197183098591549,0.3571428571428571,-0.2625754527162978
CYP3A4_IC50_A,1,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.28612808400433964,-0.32915839622168175,-0.042411950827239364,0.6197183098591549,0.3571428571428571,-0.2625754527162978
CYP3A4_IC50_A,3,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.1336125277318756,-0.08491229249537935,-0.10476697579332483,0.6290322580645161,0.3636363636363636,-0.26539589442815253
CYP3A4_IC50_A,3,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.3920461221404892,-0.11601971999781657,-0.0671319152835308,0.6290322580645161,0.3636363636363636,-0.26539589442815253
CYP3A4_IC50_A,3,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.44521740827212275,-0.1633102289711555,-0.06682837056631175,0.6290322580645161,0.3636363636363636,-0.26539589442815253
CYP3A4_IC50_A,0,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.06521273884090895,-0.04975678340460116,-0.08918122443100718,0.6228070175438597,0.3555555555555555,-0.2672514619883042
CYP3A4_IC50_A,0,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.09593284373711941,0.006325154996797089,-0.13413648863740768,0.6228070175438597,0.3555555555555555,-0.2672514619883042
CYP3A4_IC50_A,0,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.34842736651496686,-0.08205924500053535,-0.05868668581124514,0.6228070175438597,0.3555555555555555,-0.2672514619883042
CYP3A4_IC50_A,4,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.19168195193546822,-0.19987526790733778,0.00038905399965194487,0.6101694915254238,0.3490566037735849,-0.2611128877518389
CYP3A4_IC50_A,4,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.34841387905889976,-0.14395848206535117,0.07820628305889965,0.6101694915254238,0.3490566037735849,-0.2611128877518389
CYP3A4_IC50_A,4,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.35601405113535267,-0.11074577933113083,0.013004519945364779,0.6101694915254238,0.3490566037735849,-0.2611128877518389
hERG_IC50_T,4,morgan,xgboost_aft,scaffold_vs_cluster_butina,-0.05634213068665983,-0.18534448874984213,-0.12403272352351347,0.6133333333333333,0.2926829268292683,-0.320650406504065
hERG_IC50_T,4,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.02891924763803977,-0.06620029136907749,-0.24859679279981828,0.6133333333333333,0.2926829268292683,-0.320650406504065
hERG_IC50_T,4,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.1398774026195797,-0.05911623529735768,-0.23623089966005306,0.6133333333333333,0.2926829268292683,-0.320650406504065
hERG_IC50_T,1,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.2550444160684482,-0.10657552555205699,-0.0008417192386571681,0.5970149253731343,0.2923076923076923,-0.30470723306544195
hERG_IC50_T,1,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.1243044447593109,-0.1340587874662861,-0.0904798358639809,0.5970149253731343,0.2923076923076923,-0.30470723306544195
hERG_IC50_T,1,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.5237514998064521,-0.033585521679725894,0.0446685187194098,0.5970149253731343,0.2923076923076923,-0.30470723306544195
hERG_IC50_T,3,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.17271765687640506,-0.20914078315255866,-0.08481023717363212,0.6521739130434783,0.3150684931506849,-0.33710541989279336
hERG_IC50_T,3,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.04562206622966314,-0.20176264119027923,-0.08382751735436855,0.6521739130434783,0.3150684931506849,-0.33710541989279336
