zinc_id,target_receptor_id,docking_score,cnnscore,cnnaffinity,key_interaction_recall_consensus,num_interactions,gnina_interaction_score,smiles,mw,logp,hbd,hba,rot,tpsa,arom_n,qed,scaffold,cnn_top_decile_threshold,recall_median_threshold,passes_gate
670467852,1xkk_a_fmm_91,-10.167,0.82226,7.46019,0.32894736842105265,26,1.0927402631578949,O=C(Cn1ncc2ccccc2c1=O)NC12C[C@@H]3C[C@H](C1)CC(n1ncnn1)(C3)C2,405.5,1.25,1,6,4,107.6,6,0.7,O=C(Cn1ncc2ccccc2c1=O)NC12CC3CC(C1)CC(n1ncnn1)(C3)C2,0.7065239999999998,0.25,True
2383344925,4hjo_a_aq4_1001,-8.488,0.8621,7.53246,0.2631578947368421,23,1.0889684210526316,COc1cc(OC)nc(N2C[C@@H]3[C@H](CNC(=O)c4ccoc4)[C@H]4CC[C@]3(C2)O4)n1,400.4,1.5,1,8,6,99.0,2,0.779,O=C(NCC1C2CCC3(CN(c4ncccn4)CC13)O2)c1ccoc1,0.7065239999999998,0.25,True
5042336,5cav_a_4zq_1101,-8.517,0.86961,6.80612,0.25,20,1.0870125,Cn1cc(C(=O)NCc2ccco2)c(=O)c2cc(S(=O)(=O)N3CCCC3)ccc21,415.5,1.85,1,5,5,101.6,1,0.685,O=C(NCc1ccco1)c1c[nH]c2ccc(S(=O)(=O)N3CCCC3)cc2c1=O,0.7065239999999998,0.25,True
426534463,1m17_a_aq4_999,-8.413,0.8687,7.64523,0.25,24,1.0858750000000001,CC(=O)NCc1cc2n(n1)CCN(c1cc(Sc3cccs3)nc(N)n1)C2,401.5,2.12,2,8,5,102.0,4,0.631,c1csc(Sc2cc(N3CCn4nccc4C3)ncn2)c1,0.7065239999999998,0.25,True
2382336724,1xkk_a_fmm_91,-9.703,0.83216,8.00107,0.3026315789473684,25,1.083997894736842,O=C(c1cnn2cccnc12)N1CCC2(CC1)C(=O)NC(=O)N2Cc1ccccc1,404.4,1.46,1,5,3,99.9,3,0.666,O=C(c1cnn2cccnc12)N1CCC2(CC1)C(=O)NC(=O)N2Cc1ccccc1,0.7065239999999998,0.25,True
426442481,4hjo_a_aq4_1001,-10.8,0.85656,7.28,0.2631578947368421,27,1.0819705263157895,Cc1ccc(SC2CCN(C(=O)c3cc4n(n3)C[C@H](O)CNC4=O)CC2)cc1,400.5,1.69,2,5,3,87.5,2,0.819,O=C1NCCCn2nc(C(=O)N3CCC(Sc4ccccc4)CC3)cc21,0.7065239999999998,0.25,True
2382434974,4hjo_a_aq4_1001,-9.936,0.84543,7.23477,0.27631578947368424,26,1.0790356578947369,COC(=O)c1cncc(C[C@@H]2CCN(C(=O)c3ccc4c(c3)N(C)C(=O)CO4)C2)c1,409.4,1.93,0,6,4,89.0,1,0.717,O=C1COc2ccc(C(=O)N3CCC(Cc4cccnc4)C3)cc2N1,0.7065239999999998,0.25,True
95368809,4hjo_a_aq4_1001,-11.08,0.85238,7.7394,0.2631578947368421,24,1.0766905263157895,CN(C)C(=O)c1cccc(N2CC[C@@]3(O)CCN(C(=O)C4CCCC4)C[C@H]3C2)n1,400.5,1.76,1,5,3,77.0,1,0.837,O=C(C1CCCC1)N1CCC2CCN(c3ccccn3)CC2C1,0.7065239999999998,0.25,True
1529101690,6duk_c_jbj_1103,-7.458,0.82594,7.23491,0.3026315789473684,26,1.0758955263157894,COc1ccc([C@@H]2[C@@H](CO)OCCN2C(=O)c2cnc(N(C)C)nc2C)cc1OC,416.5,1.44,1,8,6,97.2,2,0.756,O=C(c1cncnc1)N1CCOCC1c1ccccc1,0.7065239999999998,0.25,True
2384415026,4hjo_a_aq4_1001,-8.764,0.8524,7.30526,0.25,28,1.0655000000000001,CN(C)S(=O)(=O)C[C@@H]1COC[C@@H]1n1ccnc1-c1cccc(Cn2cccn2)c1,415.5,1.87,0,5,7,82.3,4,0.588,c1cc(Cn2cccn2)cc(-c2nccn2C2CCOC2)c1,0.7065239999999998,0.25,True
8844832,4hjo_a_aq4_1001,-9.769,0.84203,7.19842,0.2631578947368421,26,1.063616842105263,Cc1ccc(S(=O)(=O)N2CCN(C(=O)C[C@H](C)n3nc(C)nc3C)CC2)cc1,405.5,1.69,0,5,5,88.4,3,0.755,O=C(CCn1cncn1)N1CCN(S(=O)(=O)c2ccccc2)CC1,0.7065239999999998,0.25,True
597570,1xkk_a_fmm_91,-9.622,0.80824,7.24472,0.3157894736842105,24,1.0634736842105263,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)nc3n(c2=O)CCCC3)CC1,400.5,1.48,0,5,5,77.2,3,0.711,O=C(c1ccccc1)C1CCN(CCn2c(=O)nc3n(c2=O)CCCC3)CC1,0.7065239999999998,0.25,True
67604715,5cav_a_4zq_1101,-8.121,0.84496,6.98945,0.25,20,1.0562,Cc1ccc(-c2noc(CNC(=O)[C@@H]3CCCN(S(=O)(=O)N(C)C)C3)n2)cc1,407.5,1.18,1,6,6,108.6,2,0.77,O=C(NCc1nc(-c2ccccc2)no1)C1CCCNC1,0.7065239999999998,0.25,True
9727616,1xkk_a_fmm_91,-8.927,0.81808,7.67883,0.2894736842105263,24,1.0548926315789475,Cc1nn(CC(=O)NCCCN2CCCCC2)c(=O)c2cc(-c3ccccc3)nn12,408.5,1.86,1,5,7,84.5,4,0.603,O=C(Cn1ncn2nc(-c3ccccc3)cc2c1=O)NCCCN1CCCCC1,0.7065239999999998,0.25,True
9426762,5cav_a_4zq_1101,-8.098,0.80809,6.82503,0.3026315789473684,25,1.052643552631579,CCn1c(CNC(=O)c2ccccc2F)nnc1SCC(=O)N1CCOCC1,407.5,1.32,1,6,7,89.3,3,0.697,O=C(NCc1nnc(SCC(=O)N2CCOCC2)[nH]1)c1ccccc1,0.7065239999999998,0.25,True
1529089865,6duk_c_jbj_1103,-7.292,0.81617,7.38819,0.2894736842105263,25,1.0524297368421052,COc1ccc([C@@H]2[C@@H](CO)OCCN2C(=O)c2cn3ccsc3n2)cc1OC,403.5,1.99,1,7,5,85.5,2,0.701,O=C(c1cn2ccsc2n1)N1CCOCC1c1ccccc1,0.7065239999999998,0.25,True
2384419469,5cav_a_4zq_1101,-9.039,0.84066,7.99425,0.25,21,1.050825,Cn1ccc2c(N3C[C@H]4[C@@H](CNC(=O)Cn5cccn5)[C@@H]5CC[C@@]4(C3)O5)ccnc21,406.5,1.57,1,5,5,77.2,4,0.696,O=C(Cn1cccn1)NCC1C2CCC3(CN(c4ccnc5[nH]ccc45)CC13)O2,0.7065239999999998,0.25,True
6948039,1xkk_a_fmm_91,-8.892,0.78055,7.42144,0.34210526315789475,26,1.0475802631578948,COc1cccc(NC(=O)CNC(=O)Cn2cnc3sc(C)c(C)c3c2=O)c1,400.5,1.84,2,6,6,102.3,2,0.657,O=C(Cn1cnc2sccc2c1=O)NCC(=O)Nc1ccccc1,0.7065239999999998,0.25,True
2382424760,4hjo_a_aq4_1001,-8.805,0.82861,6.88455,0.2631578947368421,27,1.0466652631578945,COC(=O)c1ccc(OC)c(C[C@@H]2CCN(C(=O)CSc3nncn3C)C2)c1,404.5,1.79,0,7,7,86.6,3,0.514,O=C(CSc1nnc[nH]1)N1CCC(Cc2ccccc2)C1,0.7065239999999998,0.25,True
1772816466,1xkk_a_fmm_91,-8.691,0.77679,8.02609,0.34210526315789475,27,1.042533947368421,Cc1ncsc1CN1C[C@@H]2CN(C(=O)c3cnn4ccn(C)c34)C[C@]2(CO)C1,400.5,1.0,1,6,4,78.9,4,0.707,O=C(c1cnn2cc[nH]c12)N1CC2CN(Cc3cncs3)CC2C1,0.7065239999999998,0.25,True
2382432218,6duk_c_jbj_1103,-9.406,0.80803,7.67141,0.2894736842105263,25,1.0419334210526316,CS(=O)(=O)N1C[C@H]2CN(C(=O)c3n[nH]c4c3COCC4)C[C@H]2[C@@H]1c1ccccc1,416.5,1.19,1,5,3,95.6,2,0.811,O=C(c1n[nH]c2c1COCC2)N1CC2CNC(c3ccccc3)C2C1,0.7065239999999998,0.25,True
2802487,5cav_a_4zq_1101,-7.649,0.8248,6.73706,0.2631578947368421,22,1.0418526315789474,CCn1ccc(CNC(=O)[C@@H]2CCCN(S(=O)(=O)c3cn(CC)nc3C)C2)n1,408.5,1.14,1,5,7,102.1,4,0.74,O=C(NCc1cc[nH]n1)C1CCCN(S(=O)(=O)c2cn[nH]c2)C1,0.7065239999999998,0.25,True
2382377323,5cav_a_4zq_1101,-9.298,0.8077,7.28474,0.2894736842105263,25,1.0415078947368421,O=C(NCc1nc(-c2ccccc2)n[nH]1)[C@]12CC[C@H](N3CCOCC3)C[C@@H]1CCNC2,424.5,1.57,3,6,5,95.2,3,0.674,O=C(NCc1nc(-c2ccccc2)n[nH]1)C12CCC(N3CCOCC3)CC1CCNC2,0.7065239999999998,0.25,True
1857730559,1m17_a_aq4_999,-9.469,0.80642,7.07903,0.2894736842105263,24,1.0398573684210526,CN=c1[nH]c(C(=O)N2CC(=O)N3[C@@H](C[C@H](C(=O)OC)[C@@H]3c3ccccc3)C2)cs1,414.5,1.19,1,6,3,95.1,1,0.764,N=c1[nH]c(C(=O)N2CC(=O)N3C(CCC3c3ccccc3)C2)cs1,0.7065239999999998,0.25,True
14748828,1xkk_a_fmm_91,-9.539,0.77411,7.6288,0.34210526315789475,26,1.0389371052631577,O=C1[C@@H]2CSCN2C(=O)[C@H]2CN(Cc3cnn(-c4ccccc4Cl)c3)CCN12,417.9,1.45,0,5,3,61.7,2,0.756,O=C1C2CSCN2C(=O)C2CN(Cc3cnn(-c4ccccc4)c3)CCN12,0.7065239999999998,0.25,True
1857722974,5cav_a_4zq_1101,-9.185,0.80485,7.50102,0.2894736842105263,23,1.037832894736842,CN1CCO[C@@H](C(=O)N2CCC3(CCc4c(O)nc(-c5ccccc5)nc43)CC2)C1,408.5,1.99,1,6,2,78.8,2,0.819,O=C(C1CNCCO1)N1CCC2(CCc3cnc(-c4ccccc4)nc32)CC1,0.7065239999999998,0.25,True
2782499,5cav_a_4zq_1101,-7.041,0.82903,7.09588,0.25,21,1.0362875,CCn1cc(NC(=O)c2c(Br)c(C(F)(F)F)nn2C)c(C(N)=O)n1,409.2,1.77,2,4,4,107.8,4,0.803,O=C(Nc1cn[nH]c1)c1ccn[nH]1,0.7065239999999998,0.25,True
1772816276,1xkk_a_fmm_91,-9.217,0.77833,7.87852,0.32894736842105265,27,1.0343596052631578,CC(C)Cc1cc(C(=O)N2C[C@@H]3CN(Cc4nccs4)C[C@@]3(CO)C2)nc(O)n1,417.5,1.4,2,8,6,102.7,3,0.732,O=C(c1ccncn1)N1CC2CN(Cc3nccs3)CC2C1,0.7065239999999998,0.25,True
1772711984,4hjo_a_aq4_1001,-8.561,0.82715,7.42474,0.25,28,1.0339375,Cc1nc(C(=O)N2C[C@H]3CN(C(=O)c4cc(CC(C)C)no4)C[C@]3(CO)C2)cs1,418.5,1.84,1,7,5,99.8,2,0.795,O=C(c1cscn1)N1CC2CN(C(=O)c3ccno3)CC2C1,0.7065239999999998,0.25,True
2383336070,5cav_a_4zq_1101,-8.804,0.79365,7.18113,0.3026315789473684,25,1.033833552631579,C[C@]1(NC(=O)c2cccc(F)c2)CCOC2(CCN(Cc3cnc[nH]3)CC2)[C@@H]1O,402.5,1.85,3,5,4,90.5,2,0.726,O=C(NC1CCOC2(CCN(Cc3cnc[nH]3)CC2)C1)c1ccccc1,0.7065239999999998,0.25,True
2382422545,5cav_a_4zq_1101,-7.541,0.81837,7.4796,0.2631578947368421,22,1.0337305263157894,CCOCC(=O)N[C@@]1(C)CCOC2(CCN(c3nc(C)nc(C)c3C)CC2)[C@@H]1O,406.5,1.43,2,7,5,96.8,2,0.764,c1cc(N2CCC3(CCCCO3)CC2)ncn1,0.7065239999999998,0.25,True
20998295,1xkk_a_fmm_91,-8.854,0.75861,7.45512,0.35526315789473684,28,1.0281161842105262,CN(Cc1csc(-c2ccccc2)n1)C(=O)Cn1nnnc1CN1CCOCC1,413.5,1.29,0,8,7,89.3,5,0.576,O=C(Cn1nnnc1CN1CCOCC1)NCc1csc(-c2ccccc2)n1,0.7065239999999998,0.25,True
2100482315,5cav_a_4zq_1101,-8.122,0.80083,7.16361,0.27631578947368424,25,1.0221119736842106,COc1ccc(Cc2n[nH]c(=NC(=O)c3nnc4n3CCCC4)s2)cc1OC,400.5,1.75,1,7,5,107.3,5,0.699,O=C(N=c1[nH]nc(Cc2ccccc2)s1)c1nnc2n1CCCC2,0.7065239999999998,0.25,True
16732379,5cav_a_4zq_1101,-7.427,0.81499,7.57083,0.25,20,1.0187375,CCOc1ccc(-c2nc3s/c(=C/c4ccc(OCC(N)=O)cc4)c(=O)n3n2)cc1,422.5,1.63,1,7,7,108.8,3,0.485,O=c1c(=Cc2ccccc2)sc2nc(-c3ccccc3)nn12,0.7065239999999998,0.25,True
