target,term,lambda,roc_auc,ef1,ef5,bedroc,combination
CDK2,tanimoto,0.25,0.7658928504807688,13.5002012792414,6.79228876861833,0.2633782174882206,additive
CDK2,tanimoto,0.25,0.7548762370306472,12.23455740931252,6.032902446661001,0.2267293840233949,rank_fusion
CDK2,tanimoto,0.5,0.763966044538108,13.922082569217691,6.834476897615959,0.2652081510601426,multiplicative
CDK2,tanimoto,0.5,0.7681712738636546,13.922082569217691,7.045417542604106,0.2646379005231195,additive
CDK2,tanimoto,0.5,0.7446001661557332,12.23455740931252,5.695397414679966,0.2157499975689742,rank_fusion
CDK2,tanimoto,1.0,0.7649435516379443,14.13302321420584,7.045417542604106,0.2627823207425529,multiplicative
CDK2,tanimoto,1.0,0.7693575751454318,14.554904504182137,7.003229413606476,0.2556892944896886,additive
CDK2,tanimoto,1.0,0.722328344414932,11.812676119336224,5.062575479715526,0.2052849746109721,rank_fusion
CDK2,tanimoto,1.5,0.7655450244729378,14.13302321420584,7.129793800599365,0.2601005044652462,multiplicative
CDK2,tanimoto,1.5,0.7679470864661939,13.5002012792414,6.876665026613589,0.245232811485635,additive
CDK2,tanimoto,1.5,0.7038439740641759,11.60173547434808,4.80944670572975,0.2006055196055194,rank_fusion
CDK2,tanimoto,2.0,0.7658913339078112,13.922082569217691,7.003229413606476,0.2573330925864397,multiplicative
CDK2,tanimoto,2.0,0.7649783949016457,13.078319989265108,6.539159994632554,0.2360680710042754,additive
CDK2,tanimoto,2.0,0.6896391451138901,11.60173547434808,4.851634834727378,0.197117310855217,rank_fusion
CDK2,tanimoto,3.0,0.7662884485367649,14.343963859193988,7.045417542604106,0.2541822700825218,multiplicative
CDK2,tanimoto,3.0,0.7532817501373257,12.445498054300666,6.11727870465626,0.2225381182778062,additive
CDK2,tanimoto,3.0,0.6697577456688951,11.179854184371784,4.471941673748714,0.1932060286077955,rank_fusion
CDK2,precision,0.0,0.7615001348233359,11.60173547434808,6.876665026613589,0.2361815138347693,multiplicative
CDK2,precision,0.0,0.7615001348233359,11.60173547434808,6.876665026613589,0.2361815138347693,additive
CDK2,precision,0.0,0.7615001348233359,11.60173547434808,6.876665026613589,0.2361815138347693,rank_fusion
CDK2,precision,0.25,0.7609560263604646,10.96891353938364,6.6657243816254415,0.2320927110049927,multiplicative
CDK2,precision,0.25,0.7599120554507603,10.336091604419195,6.6657243816254415,0.2290251374417391,additive
CDK2,precision,0.25,0.731386076404339,8.648566444514023,4.72507044773449,0.1553886970154218,rank_fusion
CDK2,precision,0.5,0.7602844878548288,10.547032249407344,6.6235362526278125,0.224969793352007,multiplicative
CDK2,precision,0.5,0.7557427689043094,9.703269669454755,6.581348123630183,0.2150681761992975,additive
CDK2,precision,0.5,0.7058665136747867,7.382922574585141,4.050060383772419,0.1324143273052532,rank_fusion
CDK2,precision,1.0,0.7592469244658706,9.914210314442904,6.6657243816254415,0.2165187079169768,multiplicative
CDK2,precision,1.0,0.7447219469642304,9.281388379478464,6.412595607639665,0.1893601348613753,additive
CDK2,precision,1.0,0.6683764510190915,5.484456769691819,3.459426577805609,0.1084597828936533,rank_fusion
CDK2,precision,1.5,0.7585616988892923,9.281388379478464,6.539159994632554,0.2108540166251802,multiplicative
CDK2,precision,1.5,0.7334290139212298,8.226685154537728,5.948526188665742,0.1700293316865578,additive
CDK2,precision,1.5,0.6414189117254445,4.218812899762938,3.121921545824574,0.0936110827093825,rank_fusion
CDK2,precision,2.0,0.758076205971233,9.281388379478464,6.539159994632554,0.2072891603001929,multiplicative
CDK2,precision,2.0,0.7209257040007498,7.8048038645614355,5.568833027687078,0.1549403299769692,additive
CDK2,precision,2.0,0.6215897203045158,3.796931609786644,2.953169029834056,0.0838141543322571,rank_fusion
CDK2,precision,3.0,0.7574586953772127,9.49232902446661,6.539159994632554,0.203175348510445,multiplicative
CDK2,precision,3.0,0.6957915403740537,7.171981929596994,4.80944670572975,0.1321342068597557,additive
