ligand_stem,target_receptor_id,docking_score,docked_flag,lit_pcba_id_x,label_x,activity_x,cnnscore,cnnaffinity,gnina_empirical_affinity,rescore_status,zinc_id,key_interaction_recall_consensus,num_interactions,gnina_interaction_score,smiles,mw,logp,hbd,hba,rot,tpsa,arom_n,qed,scaffold,lit_pcba_id_y,label_y,activity_y,cnn_top_decile_threshold,recall_median_threshold,passes_gate
2382404070,1xkk_a_fmm_91,-11.099,True,2382404070,-1,prospective,0.83777,7.7943,-11.10419,success,2382404070,0.3870967741935484,25,1.1620680645161292,C[C@@H](C(=O)N1CCc2c(C(=O)N3CCc4ccccc4C3)n[nH]c2C1)n1cncn1,405.5,1.35,1,5,3,100.0,5,0.709,O=C(Cn1cncn1)N1CCc2c(C(=O)N3CCc4ccccc4C3)n[nH]c2C1,2382404070,-1,prospective,0.6868879999999999,0.2903225806451613,True
10969893,5cav_a_4zq_1101,-7.48,True,10969893,-1,prospective,0.88239,6.74679,-7.48669,success,10969893,0.3064516129032258,21,1.1527998387096774,COc1ccc(Br)cc1-c1nnc2n(C)c3c(=O)[nH]c(=O)n(C)c3n12,405.2,1.05,1,5,2,99.2,6,0.538,O=c1[nH]c(=O)c2[nH]c3nnc(-c4ccccc4)n3c2[nH]1,10969893,-1,prospective,0.6868879999999999,0.2903225806451613,True
2386273460,1xkk_a_fmm_91,-10.459,True,2386273460,-1,prospective,0.88151,7.76084,-9.96879,success,2386273460,0.3064516129032258,23,1.1516501612903225,O=C1NCCc2c1nc(-c1ccccc1)nc2N1CCC[C@H](CN2CCOCC2)C1,407.5,1.98,1,6,4,70.6,2,0.836,O=C1NCCc2c1nc(-c1ccccc1)nc2N1CCCC(CN2CCOCC2)C1,2386273460,-1,prospective,0.6868879999999999,0.2903225806451613,True
2382336724,1xkk_a_fmm_91,-9.703,True,2382336724,-1,prospective,0.83216,8.00107,-9.70606,success,2382336724,0.3709677419354839,25,1.1408645161290323,O=C(c1cnn2cccnc12)N1CCC2(CC1)C(=O)NC(=O)N2Cc1ccccc1,404.4,1.46,1,5,3,99.9,3,0.666,O=C(c1cnn2cccnc12)N1CCC2(CC1)C(=O)NC(=O)N2Cc1ccccc1,2382336724,-1,prospective,0.6868879999999999,0.2903225806451613,True
670467852,1xkk_a_fmm_91,-10.167,True,670467852,-1,prospective,0.82226,7.46019,-10.17388,success,670467852,0.3870967741935484,26,1.1405541935483872,O=C(Cn1ncc2ccccc2c1=O)NC12C[C@@H]3C[C@H](C1)CC(n1ncnn1)(C3)C2,405.5,1.25,1,6,4,107.6,6,0.7,O=C(Cn1ncc2ccccc2c1=O)NC12CC3CC(C1)CC(n1ncnn1)(C3)C2,670467852,-1,prospective,0.6868879999999999,0.2903225806451613,True
1772819058,4hjo_a_aq4_1001,-8.75,True,1772819058,-1,prospective,0.88294,8.14132,-8.94285,success,1772819058,0.2903225806451613,27,1.1392774193548385,CCCn1ncc(CN2C[C@@H]3CN(c4nc(N)nc(C)c4Cl)C[C@]3(CO)C2)c1C,420.0,1.87,2,7,6,96.3,4,0.737,c1cc(N2CC3CN(Cc4cn[nH]c4)CC3C2)ncn1,1772819058,-1,prospective,0.6868879999999999,0.2903225806451613,True
5042336,5cav_a_4zq_1101,-8.517,True,5042336,-1,prospective,0.86961,6.80612,-8.51991,success,5042336,0.3064516129032258,20,1.136103387096774,Cn1cc(C(=O)NCc2ccco2)c(=O)c2cc(S(=O)(=O)N3CCCC3)ccc21,415.5,1.85,1,5,5,101.6,1,0.685,O=C(NCc1ccco1)c1c[nH]c2ccc(S(=O)(=O)N3CCCC3)cc2c1=O,5042336,-1,prospective,0.6868879999999999,0.2903225806451613,True
426534463,1m17_a_aq4_999,-8.413,True,426534463,-1,prospective,0.8687,7.64523,-8.03994,success,426534463,0.3064516129032258,24,1.1349145161290322,CC(=O)NCc1cc2n(n1)CCN(c1cc(Sc3cccs3)nc(N)n1)C2,401.5,2.12,2,8,5,102.0,4,0.631,c1csc(Sc2cc(N3CCn4nccc4C3)ncn2)c1,426534463,-1,prospective,0.6868879999999999,0.2903225806451613,True
1704280594,1xkk_a_fmm_91,-8.539,True,1704280594,-1,prospective,0.82675,7.6352,-8.53802,success,1704280594,0.3709677419354839,26,1.1334475806451614,Cc1cccc(N(CC(=O)N[C@H]2COC[C@H]2Cc2ccncc2)S(C)(=O)=O)c1,403.5,1.53,1,5,7,88.6,1,0.757,O=C(CNc1ccccc1)NC1COCC1Cc1ccncc1,1704280594,-1,prospective,0.6868879999999999,0.2903225806451613,True
426442481,4hjo_a_aq4_1001,-10.8,True,426442481,-1,prospective,0.85656,7.28,-11.06669,success,426442481,0.3225806451612903,27,1.1328696774193547,Cc1ccc(SC2CCN(C(=O)c3cc4n(n3)C[C@H](O)CNC4=O)CC2)cc1,400.5,1.69,2,5,3,87.5,2,0.819,O=C1NCCCn2nc(C(=O)N3CCC(Sc4ccccc4)CC3)cc21,426442481,-1,prospective,0.6868879999999999,0.2903225806451613,True
2382434974,4hjo_a_aq4_1001,-9.936,True,2382434974,-1,prospective,0.84543,7.23477,-9.93616,success,2382434974,0.3387096774193548,26,1.1317853225806451,COC(=O)c1cncc(C[C@@H]2CCN(C(=O)c3ccc4c(c3)N(C)C(=O)CO4)C2)c1,409.4,1.93,0,6,4,89.0,1,0.717,O=C1COc2ccc(C(=O)N3CCC(Cc4cccnc4)C3)cc2N1,2382434974,-1,prospective,0.6868879999999999,0.2903225806451613,True
2383344925,4hjo_a_aq4_1001,-8.488,True,2383344925,-1,prospective,0.8621,7.53246,-8.12084,success,2383344925,0.3064516129032258,23,1.126291935483871,COc1cc(OC)nc(N2C[C@@H]3[C@H](CNC(=O)c4ccoc4)[C@H]4CC[C@]3(C2)O4)n1,400.4,1.5,1,8,6,99.0,2,0.779,O=C(NCC1C2CCC3(CN(c4ncccn4)CC13)O2)c1ccoc1,2383344925,-1,prospective,0.6868879999999999,0.2903225806451613,True
67621213,5cav_a_4zq_1101,-8.924,True,67621213,-1,prospective,0.87282,7.31064,-8.92583,success,67621213,0.2903225806451613,19,1.1262193548387096,Cc1cccc(-c2noc(CNC(=O)C3CCN(S(=O)(=O)N(C)C)CC3)n2)c1,407.5,1.18,1,6,6,108.6,2,0.77,O=C(NCc1nc(-c2ccccc2)no1)C1CCNCC1,67621213,-1,prospective,0.6868879999999999,0.2903225806451613,True
1772808655,4hjo_a_aq4_1001,-9.383,True,1772808655,-1,prospective,0.8665,7.58662,-9.59963,success,1772808655,0.2903225806451613,27,1.1180645161290323,CC(C)c1cc(C(=O)N2C[C@@H]3CN(Cc4ccns4)C[C@@]3(CO)C2)nc(N)n1,402.5,1.21,2,8,5,108.5,3,0.774,O=C(c1ccncn1)N1CC2CN(Cc3ccns3)CC2C1,1772808655,-1,prospective,0.6868879999999999,0.2903225806451613,True
33309197,5cav_a_4zq_1101,-8.162,True,33309197,-1,prospective,0.86478,7.11021,-7.77354,success,33309197,0.2903225806451613,19,1.1158451612903226,CN(C)c1nc2ncn3c(=O)n(CC(=O)Nc4ccc(F)cc4F)nc3c2s1,405.4,1.48,1,7,4,97.4,5,0.553,O=C(Cn1nc2c3scnc3ncn2c1=O)Nc1ccccc1,33309197,-1,prospective,0.6868879999999999,0.2903225806451613,True
8844832,4hjo_a_aq4_1001,-9.769,True,8844832,-1,prospective,0.84203,7.19842,-9.77398,success,8844832,0.3225806451612903,26,1.1136525806451611,Cc1ccc(S(=O)(=O)N2CCN(C(=O)C[C@H](C)n3nc(C)nc3C)CC2)cc1,405.5,1.69,0,5,5,88.4,3,0.755,O=C(CCn1cncn1)N1CCN(S(=O)(=O)c2ccccc2)CC1,8844832,-1,prospective,0.6868879999999999,0.2903225806451613,True
2384415026,4hjo_a_aq4_1001,-8.764,True,2384415026,-1,prospective,0.8524,7.30526,-8.77172,success,2384415026,0.3064516129032258,28,1.1136193548387097,CN(C)S(=O)(=O)C[C@@H]1COC[C@@H]1n1ccnc1-c1cccc(Cn2cccn2)c1,415.5,1.87,0,5,7,82.3,4,0.588,c1cc(Cn2cccn2)cc(-c2nccn2C2CCOC2)c1,2384415026,-1,prospective,0.6868879999999999,0.2903225806451613,True
597570,1xkk_a_fmm_91,-9.622,True,597570,-1,prospective,0.80824,7.24472,-9.62437,success,597570,0.3709677419354839,24,1.1080709677419356,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)nc3n(c2=O)CCCC3)CC1,400.5,1.48,0,5,5,77.2,3,0.711,O=C(c1ccccc1)C1CCN(CCn2c(=O)nc3n(c2=O)CCCC3)CC1,597570,-1,prospective,0.6868879999999999,0.2903225806451613,True
9426762,5cav_a_4zq_1101,-8.098,True,9426762,-1,prospective,0.80809,6.82503,-8.09906,success,9426762,0.3709677419354839,25,1.1078653225806452,CCn1c(CNC(=O)c2ccccc2F)nnc1SCC(=O)N1CCOCC1,407.5,1.32,1,6,7,89.3,3,0.697,O=C(NCc1nnc(SCC(=O)N2CCOCC2)[nH]1)c1ccccc1,9426762,-1,prospective,0.6868879999999999,0.2903225806451613,True
